0000	Ericsson
0001	Nokia Mobile Phones
0002	Intel
0003	IBM
0004	Toshiba
0005	3Com
0006	Microsoft
0007	Lucent
0008	Motorola
0009	Infineon Technologies
000A	Qualcomm Technologies International
000B	Silicon Wave
000C	Digianswer
000D	Texas Instruments
000E	Parthus Technologies
000F	Broadcom
0010	Mitel Semiconductor
0011	Widcomm
0012	Zeevo
0013	Atmel
0014	Mitsubishi Electric
0015	RTX
0016	KC Technology
0017	Newlogic
0018	Transilica
0019	Rohde & Schwarz
001A	TTPCom
001B	Signia Technologies
001C	Conexant Systems
001D	Qualcomm
001E	Inventel
001F	AVM Berlin
0020	BandSpeed
0021	Mansella
0022	NEC
0023	WavePlus Technology
0024	Alcatel
0025	NXP
0026	C Technologies
0027	Open Interface
0028	R F Micro Devices
0029	Hitachi
002A	Symbol Technologies
002B	Tenovis
002C	Macronix International
002D	GCT Semiconductor
002E	Norwood Systems
002F	MewTel Technology
0030	ST Microelectronics
0031	Synopsys
0032	Red-M (Communications)
0033	Commil
0034	Computer Access Technology
0036	Renesas Electronics
0037	Mobilian
0038	Syntronix
0039	Integrated System Solution
003A	Panasonic Holdings
003B	Gennum
003C	BlackBerry
003D	IPextreme
003E	Systems and Chips
003F	Bluetooth SIG
0040	Seiko Epson
0041	Integrated Silicon Solution Taiwan
0042	CONWISE Technology
0043	PARROT AUTOMOTIVE
0044	Socket Mobile
0045	Atheros Communications
0046	MediaTek
0047	Bluegiga
0048	Marvell Technology Group
0049	3DSP
004A	Accel Semiconductor
004B	AUMOVIO Systems
004C	Apple
004D	Staccato Communications
004E	Avago Technologies
004F	APT
0050	SiRF Technology
0051	Tzero Technologies
0052	J&M
0053	Free2move
0054	3DiJoy
0055	Plantronics
0056	Sony Ericsson Mobile Communications
0057	Harman International Industries
0058	Vizio
0059	Nordic Semiconductor
005A	EM Microelectronic-Marin
005B	Ralink Technology
005C	Belkin International
005D	Realtek Semiconductor
005E	Stonestreet One
005F	Wicentric
0060	RivieraWaves
0061	RDA Microelectronics
0062	Gibson Guitars
0063	MiCommand
0064	Band XI International
0065	HP
0067	GN Hearing
0068	General Motors
0069	A&D Engineering
006A	LTIMINDTREE
006B	Polar Electro
006C	Beautiful Enterprise
006E	Summit Data Communications
006F	Sound ID
0070	Monster
0071	connectBlue
0072	ShangHai Super Smart Electronics
0073	Group Sense
0074	Zomm
0075	Samsung Electronics
0076	Creative Technology
0077	Laird Connectivity
0078	Nike
0079	lesswire
007A	MStar Semiconductor
007B	Hanlynn Technologies
007D	Seers Technology
007F	Autonet Mobile
0080	DeLorme Publishing
0081	WuXi Vimicro
0082	DSEA
0083	TimeKeeping Systems
0084	Ludus Helsinki
0085	BlueRadios
0086	Equinux
0087	Garmin International
0089	GN Hearing
008A	Jawbone
008B	Topcon Positioning Systems
008C	Gimbal
008D	Zscan Software
008E	Quintic
008F	Telit Wireless Solutions
0090	Funai Electric
0091	Advanced PANMOBIL systems
0092	ThinkOptics
0093	Universal Electronics
0094	Airoha Technology
0095	NEC Lighting
0096	ODM Technology
0097	ConnecteDevice
0098	zero1.tv
0099	i.Tech Dynamic Global Distribution
009A	Alpwise
009B	Jiangsu Toppower Automotive Electronics
009C	Colorfy
009D	Geoforce
009E	Bose
009F	Suunto
00A0	Kensington Computer Products Group
00A1	SR-Medizinelektronik
00A2	Vertu
00A3	Meta Watch
00A4	LINAK
00A5	OTL Dynamics
00A6	Panda Ocean
00A7	Visteon
00A8	ARP Devices
00A9	MARELLI EUROPE
00AA	CAEN RFID
00AB	Ingenieur-Systemgruppe Zahn
00AC	Green Throttle Games
00AD	Peter Systemtechnik
00AE	Omegawave
00AF	Cinetix
00B0	Passif Semiconductor
00B1	Saris Cycling Group
00B2	Bekey
00B3	Clarinox Technologies
00B4	BDE Technology
00B5	Swirl Networks
00B6	Meso international
00B7	TreLab
00B8	Qualcomm Innovation Center
00B9	Johnson Controls
00BA	Starkey Hearing Technologies
00BB	S-Power Electronics
00BC	Ace Sensor
00BD	Aplix
00BE	AAMP of America
00BF	Stalmart Technology
00C0	AMICCOM Electronics
00C1	Shenzhen Excelsecu Data Technology
00C2	Geneq
00C3	adidas
00C4	LG Electronics
00C5	Onset Computer
00C6	Selfly
00C7	Quuppa
00C8	GeLo
00C9	Evluma
00CA	MC10
00CB	Binauric SE
00CC	Beats Electronics
00CD	Microchip Technology
00CE	Eve Systems
00CF	ARCHOS
00D0	Dexcom
00D1	Polar Electro Europe
00D2	Renesas Design Netherlands
00D3	Taixingbang Technology (HK) Co,.
00D5	Austco Communication Systems
00D6	Timex Group USA
00D7	Qualcomm Technologies
00D8	Qualcomm Connected Experiences
00D9	Voyetra Turtle Beach
00DA	txtr
00DB	Snuza (Pty)
00DC	Procter & Gamble
00DD	Hosiden
00DE	Muzik
00DF	Misfit Wearables
00E0	Google
00E1	Danlers
00E2	Semilink
00E3	inMusic Brands
00E4	L.S. Research
00E5	Eden Software Consultants
00E7	KS Technologies
00E8	ACTS Technologies
00E9	Vtrack Systems
00EA	Nielsen-Kellerman
00EB	Server Technology
00EC	BioResearch Associates
00ED	Jolly Logic
00EE	Above Average Outcomes
00EF	Bitsplitters
00F0	PayPal
00F1	Witron Technology
00F2	Morse Project
00F3	Kent Displays
00F4	Nautilus
00F5	Smartifier
00F7	VSN Technologies
00F8	AceUni
00FA	Crystal Alarm
00FB	KOUKAAM a.s.
00FC	Delphi
00FD	ValenceTech
00FE	Stanley Black and Decker
00FF	Typo Products
0100	TomTom International
0101	Fugoo
0102	Keiser
0103	Bang & Olufsen
0104	PLUS Location Systems
0105	Ubiquitous Computing Technology
0106	Innovative Yachtter Solutions
0107	Demant
0108	Chicony Electronics
0109	Atus
010A	Codegate
010B	ERi
010C	Transducers Direct
010D	DENSO TEN
010E	Audi
010F	HiSilicon Technologies
0110	Nippon Seiki
0111	Steelseries
0112	Visybl
0113	Openbrain Technologies
0115	e.solutions
0116	10AK Technologies
0117	Wimoto Technologies
0118	Radius Networks
011A	Qualcomm Labs
011B	Hewlett Packard Enterprise
011C	Baidu
011D	Arendi
011E	Skoda Auto a.s.
011F	Volkswagen
0120	Porsche
0121	Sino Wealth Electronic
0122	AirTurn
0123	Kinsa
0124	HID Global
0125	SEAT es
0126	Promethean
0127	Salutica Allied Solutions
0128	GPSI Group
0129	Nimble Devices
012A	Changzhou Yongse Infotech
012B	SportIQ
012C	TEMEC Instruments
012D	Sony
012E	ASSA ABLOY
012F	Clarion
0130	Warehouse Innovations
0131	Cypress Semiconductor
